trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-84.60120331986023,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-121.59972062078405,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-113.07918365401683,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-267.9967716170041,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 5}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-90.86922035085924,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-8.630038228707626,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-133.8881582396625,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-220.00648161031296,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-147.30090872941625,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-110.59052880269573,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-112.59047901185309,"{0: 13, 1: 2, 2: 0, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-37.310206118849884,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-54.953587481263156,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-54.93296875455054,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-31.705219966501094,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-97.7116402977629,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-0.3900380218516919,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-35.32593116001636,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-50.333116018031426,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,28.67314685144404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 0.0}",20,0,16.418783725033805,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 0.0}",20,0,-12.28960817522959,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 0.0}",25,20,8.272661687938317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.0}",25,2,13.281823845270214,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.0}",30,21,15.277065149396797,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.0}",25,0,33.24585133330126,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0.0}",25,0,-67.30279706601259,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 0.0}",30,0,-67.94800221046314,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0.0}",25,3,26.241242243698625,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0.0}",20,0,-15.727724700203837,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
