trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.995}",20,0,-51.053061983371606,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.99}",20,0,-44.435169541836345,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.2, 'e': 0.985}",20,0,-136.81697649564057,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.98}",20,0,-75.10813474638182,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.2, 'e': 0.975}",25,9,-96.23477074622474,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 1}",1
6,False,"{'a': 0.2, 'e': 0.97}",20,0,-137.1698560999641,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
7,False,"{'a': 0.2, 'e': 0.965}",20,0,-148.95061477910156,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.2, 'e': 0.96}",20,0,-154.06318484802205,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.2, 'e': 0.955}",25,0,-98.7403794832239,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.95}",30,0,-173.70293373817037,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.2, 'e': 0.945}",25,0,-94.49381536207551,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.2, 'e': 0.94}",20,0,-187.23124850543277,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
13,False,"{'a': 0.2, 'e': 0.9349999999999999}",20,0,-152.48822510536803,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
14,False,"{'a': 0.2, 'e': 0.9299999999999999}",20,0,-99.59877113845575,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.9249999999999999}",25,0,-150.29637884561723,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.9199999999999999}",20,0,-91.15245362359906,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.9149999999999999}",25,0,-225.62276785877475,"{0: 11, 1: 4, 2: 6, 3: 0, 4: 4}",0
18,False,"{'a': 0.2, 'e': 0.9099999999999999}",25,0,-177.7497557301062,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.9049999999999999}",20,0,-31.924011830605863,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-113.01703683162836,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.2, 'e': 0.8949999999999999}",35,0,-197.58937137491444,"{0: 23, 1: 2, 2: 5, 3: 2, 4: 3}",0
22,False,"{'a': 0.2, 'e': 0.8899999999999999}",20,0,-80.37788069663091,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.2, 'e': 0.8849999999999999}",25,13,-30.047961308964464,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.2, 'e': 0.8799999999999999}",20,0,-125.63887820439224,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.2, 'e': 0.8749999999999999}",35,0,-92.34840020843156,"{0: 23, 1: 3, 2: 8, 3: 1, 4: 0}",0
26,False,"{'a': 0.2, 'e': 0.8699999999999999}",25,0,-135.07576343061695,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.8649999999999999}",20,0,-129.64622333895224,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.2, 'e': 0.8599999999999999}",20,6,-91.39952712741696,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
29,False,"{'a': 0.2, 'e': 0.8549999999999999}",20,0,-82.71693662073754,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.8499999999999999}",20,0,-79.0128052982207,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.8449999999999999}",25,0,-135.00981242498233,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",0
