trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.01}",25,0,-30.422599052410753,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.0001}",20,0,-80.07135106017273,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.9, 'e': 1.0000000000000002e-06}",20,14,-13.103116483995638,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 1e-08}",25,14,9.433007775811642,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.9, 'e': 1.0000000000000002e-10}",30,22,15.356019493619419,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 1.0000000000000002e-12}",25,18,13.861676488426212,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 1.0000000000000002e-14}",20,4,28.814857871589325,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 1.0000000000000002e-16}",20,0,26.932656142261813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 1.0000000000000003e-18}",30,16,20.939897204773978,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 1.0000000000000002e-20}",20,16,8.32788809074269,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 1.0000000000000003e-22}",25,9,24.908306987843478,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 1.0000000000000003e-24}",20,12,-4.346376508921367,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.9, 'e': 1.0000000000000003e-26}",25,13,20.85400358323759,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 1.0000000000000003e-28}",25,0,35.17919234286671,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.9, 'e': 1.0000000000000003e-30}",20,12,12.41968566936856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.9, 'e': 1.0000000000000003e-32}",25,13,21.667123169588457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 1.0000000000000004e-34}",20,0,15.957402038302707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 1.0000000000000004e-36}",20,5,9.250688085478847,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 1.0000000000000004e-38}",30,18,-1.3349276820374003,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.9, 'e': 1.0000000000000003e-40}",35,18,31.100584242988297,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,12,23.672540355929645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,14,-5.935163183982402,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,18.38625547184533,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,13,25.342893547758006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,20.550158865145,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,15,8.316350038718788,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,28.30065163414487,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,26.483653906796924,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,17.08804420716358,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,15,24.046454653880264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,11,17.936011092428334,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,16,29.21850440024962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,17,14.176672956786913,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,0,25.9110036637445,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0, 'e': 0}",20,16,5.262357414090328,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,20,8.811199810786981,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,10,25.47734708433685,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,10,20.31660765399534,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,0,-39.171454281422655,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,4,17.74277706731043,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
