trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-72.49043350133317,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-50.82516738768053,"{0: 11, 1: 7, 2: 1, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-268.95191284836244,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,7,-117.22352846749658,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-135.39548037488188,"{0: 16, 1: 3, 2: 8, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,12,-35.1749096096132,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-65.47055165988807,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,5,-174.3327175214399,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-168.49314257406584,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,15,-23.945871133826614,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-196.18065061653385,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-113.82897906846183,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-208.3550204541699,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-227.23119066484685,"{0: 12, 1: 1, 2: 6, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-117.80703501175579,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-207.14965407898927,"{0: 6, 1: 3, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-87.95828146532803,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,3,-98.26269797904011,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-225.81064849936263,"{0: 10, 1: 4, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",25,11,-7.248645394266566,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-62.16150360710284,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,8,-64.84133666551158,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-116.41540938511388,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-107.30047122755013,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-72.95440499064395,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-183.07125424907483,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-121.03172365390321,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-117.47637814616002,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-152.26460297323797,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",25,0,-90.40664941581393,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
