trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",30,0,-118.81184860781649,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.98, 'e': 0.98}",20,0,-46.04673746942244,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.97, 'e': 0.97}",25,0,-132.62437787274388,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.96, 'e': 0.96}",20,0,-168.05965252333803,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
5,False,"{'a': 0.95, 'e': 0.95}",30,8,-104.52465431066581,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 1}",1
6,False,"{'a': 0.94, 'e': 0.94}",25,0,-86.51116670655554,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.9299999999999999, 'e': 0.9299999999999999}",20,0,-185.63816845766837,"{0: 7, 1: 5, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.9199999999999999, 'e': 0.9199999999999999}",30,0,-104.43859740367873,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.9099999999999999, 'e': 0.9099999999999999}",20,0,-84.71138995955893,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.8999999999999999, 'e': 0.8999999999999999}",20,0,-91.36262009645584,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.8899999999999999, 'e': 0.8899999999999999}",20,0,-104.28176581145203,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.8799999999999999, 'e': 0.8799999999999999}",20,0,-115.23863053053117,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.8699999999999999, 'e': 0.8699999999999999}",25,0,-93.11023962390554,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.8599999999999999, 'e': 0.8599999999999999}",20,0,-128.16643823658026,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.8499999999999999, 'e': 0.8499999999999999}",25,0,-42.83002969584429,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.8399999999999999, 'e': 0.8399999999999999}",20,0,-37.15268822925833,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.8299999999999998, 'e': 0.8299999999999998}",20,0,-92.23918554850479,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
18,False,"{'a': 0.8199999999999998, 'e': 0.8199999999999998}",30,0,-52.825412823377775,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.8099999999999998, 'e': 0.8099999999999998}",25,0,-103.95678810428447,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.7999999999999998, 'e': 0.7999999999999998}",25,12,-100.26412547229036,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.7899999999999998, 'e': 0.7899999999999998}",30,1,-110.53977284742945,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 3}",1
22,False,"{'a': 0.7799999999999998, 'e': 0.7799999999999998}",30,16,-64.50306913490164,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.7699999999999998, 'e': 0.7699999999999998}",20,9,-71.6085493412402,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.7599999999999998, 'e': 0.7599999999999998}",20,0,-67.02182226124297,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.7499999999999998, 'e': 0.7499999999999998}",25,0,-80.41688057827191,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
26,False,"{'a': 0.7399999999999998, 'e': 0.7399999999999998}",20,2,-34.07900437555432,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.7299999999999998, 'e': 0.7299999999999998}",20,0,-55.647209667110815,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
