trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9950041652780258}",20,0,-101.0094868439915,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9800665778412416}",20,0,-209.7929347590479,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
3,False,"{'a': 0.1, 'e': 0.955336489125606}",20,0,-118.8563515084596,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.9210609940028851}",30,0,-222.50505020854118,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
5,False,"{'a': 0.1, 'e': 0.8775825618903728}",20,9,-88.44761168070556,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.1, 'e': 0.8253356149096782}",20,0,-144.99072607353233,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.7648421872844884}",25,0,-85.22915716230892,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.6967067093471654}",20,0,-94.58293301451306,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.1, 'e': 0.6216099682706644}",20,0,-85.991492397041,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.5403023058681397}",20,0,-48.94236426340795,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.4535961214255773}",25,0,-105.32933557794799,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.3623577544766734}",25,0,-79.85616732330664,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.26749882862458735}",25,14,-32.16722598148013,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.16996714290024081}",25,0,-77.53129849602385,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.1, 'e': 0.0707372016677029}",20,6,-13.205191526941299,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.029199522301288815}",20,0,-119.50918778370867,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
17,False,"{'a': 0.1, 'e': 0.12884449429552486}",25,0,-93.36655899881112,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.2272020946930871}",35,5,-20.229766086024547,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.1, 'e': 0.3232895668635036}",20,0,-34.743445300720566,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.4161468365471424}",25,0,-115.44897253523656,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.5048461045998576}",25,0,-35.37874844751156,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.5885011172553458}",30,19,-39.58090120274225,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.1, 'e': 0.6662760212798244}",20,0,-47.38873517032776,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.7373937155412458}",20,0,-37.43941773681722,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.8011436155469337}",25,0,-53.9655557689688,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.8568887533689473}",25,0,-134.23692584316552,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9040721420170612}",20,0,-120.56131692146651,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.9422223406686583}",20,0,-159.2493436730955,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.9709581651495907}",20,0,-88.5953868802202,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
30,False,"{'a': 0.1, 'e': 0.9899924966004454}",20,0,-158.84134102780064,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
31,False,"{'a': 0.1, 'e': 0.9991351502732795}",30,0,-155.94342103787213,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.9982947757947531}",20,0,-127.13244745851739,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.1, 'e': 0.9874797699088649}",25,0,-163.23001615094128,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.9667981925794609}",25,0,-56.67012109669063,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.1, 'e': 0.9364566872907963}",25,0,-206.64362562087396,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
36,False,"{'a': 0.1, 'e': 0.896758416334147}",20,0,-127.39007112446014,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.848100031710408}",20,0,-86.9498593836872,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
